customer_id,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_id,order_purchase_timestamp,order_status,_ingested_at,_source_endpoint
9ef432eb6251297304e76186b10a928d,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18 00:00:00,e481f51cbdc54678b7cc49136f2d6af7,2017-10-02 10:56:33,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
b0830fb4747a6c6d20dea0b8c802d7ef,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13 00:00:00,53cdb2fc8bc7dce0b6741e2150273451,2018-07-24 20:41:37,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
41ce2a54c0b03bf3443c3d931a367089,2018-08-08 08:55:23,2018-08-08 13:50:00,2018-08-17 18:06:29,2018-09-04 00:00:00,47770eb9100c2d0c44946d9cf07ec65d,2018-08-08 08:38:49,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
f88197465ea7920adcdbec7375364d82,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15 00:00:00,949d5b44dbf5de918fe9c16f97b45f8a,2017-11-18 19:28:06,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
8ab97904e6daea8866dbdbc4fb7aad2c,2018-02-13 22:20:29,2018-02-14 19:46:34,2018-02-16 18:17:02,2018-02-26 00:00:00,ad21c59c0840e6cb83a9ceb5573f8159,2018-02-13 21:18:39,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
503740e9ca751ccdda7ba28e9ab8f608,2017-07-09 22:10:13,2017-07-11 14:58:04,2017-07-26 10:57:55,2017-08-01 00:00:00,a4591c265e18cb1dcee52889e2d8acc3,2017-07-09 21:57:05,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
ed0271e0b7da060a393796590e7b737a,2017-04-13 13:25:17,"","",2017-05-09 00:00:00,136cce7faa42fdb2cefd53fdc79a6098,2017-04-11 12:22:08,invoiced,2026-04-01T05:34:25.929819,/api/v1/data/orders
9bdf08b4b3b52b5526ff42d37d47f222,2017-05-16 13:22:11,2017-05-22 10:07:46,2017-05-26 12:55:51,2017-06-07 00:00:00,6514b8ad8028c9f2cc2374ded245783f,2017-05-16 13:10:30,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
f54a9f0e6b351c431402b8461ea51999,2017-01-25 02:50:47,2017-01-26 14:16:31,2017-02-02 14:08:10,2017-03-06 00:00:00,76c6e866289321a7c93b82b54852dc33,2017-01-23 18:29:09,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
31ad1d1b63eb9962463f764d4e6e0c9d,2017-07-29 12:05:32,2017-08-10 19:45:24,2017-08-16 17:14:30,2017-08-23 00:00:00,e69bfb5eb88e0ed6a785585b27e16dbf,2017-07-29 11:55:02,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
494dded5b201313c64ed7f100595b95c,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07 00:00:00,e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
7711cf624183d843aafe81855097bc37,2017-07-13 20:10:08,2017-07-14 18:43:29,2017-07-19 14:04:48,2017-08-08 00:00:00,34513ce0c4fab462a55830c0989c7edb,2017-07-13 19:58:11,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
d3e3b74c766bc6214e0c830b17ee2341,2018-06-09 03:13:12,2018-06-11 13:29:00,2018-06-19 12:05:52,2018-07-18 00:00:00,82566a660a982b15fb86e904c8d32918,2018-06-07 10:06:19,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
19402a48fe860416adf93348aba37740,2018-07-25 17:55:14,2018-07-26 13:16:00,2018-07-30 15:52:25,2018-08-08 00:00:00,5ff96c15d0b717ac6ad1f3d77225a350,2018-07-25 17:44:10,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
3df704f53d3f1d4818840b34ec672a9f,2018-03-01 15:10:47,2018-03-02 21:09:20,2018-03-12 23:36:26,2018-03-21 00:00:00,432aaf21d85167c2c86ec9448c4e42cc,2018-03-01 14:14:28,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
3b6828a50ffe546942b7a473d70ac0fc,2018-06-12 23:31:02,2018-06-11 14:54:00,2018-06-21 15:34:32,2018-07-04 00:00:00,dcb36b511fcac050b97cd5c05de84dc3,2018-06-07 19:03:12,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
738b086814c6fcc74b8cc583f8516ee3,2018-01-02 19:09:04,2018-01-03 18:19:09,2018-01-20 01:38:59,2018-02-06 00:00:00,403b97836b0c04a622354cf531062e5f,2018-01-02 19:00:43,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
3187789bec990987628d7a9beb4dd6ac,2017-12-26 23:50:22,2017-12-28 18:33:05,2018-01-08 22:36:36,2018-01-29 00:00:00,116f0b09343b49556bbad5f35bee0cdf,2017-12-26 23:41:31,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
059f7fc5719c7da6cbafe370971a8d70,2017-11-21 00:14:22,2017-11-23 21:32:26,2017-11-27 18:28:00,2017-12-11 00:00:00,85ce859fd6dc634de8d2f1e290444043,2017-11-21 00:03:41,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
7f8c8b9c2ae27bf3300f670c3d478be8,2017-10-26 16:08:14,2017-10-26 21:46:53,2017-11-08 22:22:00,2017-11-23 00:00:00,83018ec114eee8641c97e08f7b4e926f,2017-10-26 15:54:26,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
d2b091571da224a1b36412c18bc3bbfe,2017-09-19 04:04:09,2017-10-06 17:50:03,2017-10-09 22:23:46,2017-09-28 00:00:00,203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-18 14:31:30,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
4fa1cd166fa598be6de80fa84eaade43,2018-03-15 09:09:31,2018-03-15 19:52:48,2018-03-19 18:08:32,2018-03-29 00:00:00,f848643eec1d69395095eb3840d2051e,2018-03-15 08:52:40,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
72ae281627a6102d9b3718528b420f8a,2018-02-03 20:50:22,2018-02-05 22:37:28,2018-02-08 16:13:46,2018-02-21 00:00:00,2807d0e504d6d4894d41672727bc139f,2018-02-03 20:37:35,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
a166da34890074091a942054b36e4265,2018-01-08 08:07:31,2018-01-24 23:16:37,2018-01-26 17:32:38,2018-02-21 00:00:00,95266dbfb7e20354baba07964dac78d5,2018-01-08 07:55:29,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
62b423aab58096ca514ba6aa06be2f98,2018-08-10 03:24:51,2018-08-10 12:29:00,2018-08-13 18:24:27,2018-08-17 00:00:00,f3e7c359154d965827355f39d6b1fdac,2018-08-09 11:44:40,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
3a874b4d4c4b6543206ff5d89287f0c3,2018-02-22 02:30:46,2018-02-26 22:25:22,2018-03-21 22:03:54,2018-03-12 00:00:00,fbf9ac61453ac646ce8ad9783d7d0af6,2018-02-20 23:46:53,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
7e20bf5ca92da68200643bda76c504c6,2018-06-05 00:35:10,2018-06-05 13:24:00,2018-06-16 15:20:55,2018-07-18 00:00:00,acce194856392f074dbf9dada14d8d82,2018-06-04 00:00:13,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
8b212b9525f9e74e85e37ed6df37693e,2018-03-12 03:28:34,2018-03-12 21:06:37,2018-03-21 14:41:50,2018-03-28 00:00:00,dd78f560c270f1909639c11b925620ea,2018-03-12 01:50:26,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
cce89a605105b148387c52e286ac8335,2018-05-03 12:55:01,2018-05-10 16:16:00,2018-05-16 20:56:24,2018-05-23 00:00:00,91b2a010e1e45e6ba3d133fa997597be,2018-05-02 11:45:38,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
761df82feda9778854c6dafdaeb567e4,2018-02-25 14:47:35,2018-02-26 22:28:50,2018-03-27 23:29:14,2018-04-13 00:00:00,ecab90c9933c58908d3d6add7c6f5ae3,2018-02-25 13:50:30,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
456dc10730fbdba34615447ea195d643,2017-08-12 02:45:24,2017-08-17 15:35:07,2017-08-18 14:28:02,2017-08-23 00:00:00,f70a0aff17df5a6cdd9a7196128bd354,2017-08-10 11:58:33,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
52142aa69d8d0e1247ab0cada0f76023,2018-04-16 22:10:26,2018-04-18 13:05:09,2018-05-05 12:28:34,2018-05-15 00:00:00,1790eea0b567cf50911c057cf20f90f9,2018-04-16 21:15:39,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
816f8653d5361cbf94e58c33f2502a5c,2017-12-14 13:54:13,2017-12-16 00:18:57,2018-01-03 18:03:36,2018-01-08 00:00:00,989225ba6d0ebd5873335f7e01de2ae7,2017-12-12 13:56:04,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
d9ef95f98d8da3b492bb8c0447910498,2018-02-03 12:50:30,2018-02-05 21:26:53,2018-02-22 00:07:55,2018-03-07 00:00:00,d887b52c6516beb39e8cd44a5f8b60f7,2018-02-03 12:38:58,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
cf8ffeddf027932e51e4eae73b384059,2018-07-29 23:45:15,2018-07-30 14:43:00,2018-07-31 22:48:50,2018-08-06 00:00:00,b276e4f8c0fb86bd82fce576f21713e0,2018-07-29 23:34:51,delivered,2026-04-01T05:34:25.929819,/api/v1/data/orders
